demo	0	front	436.685012817	263.850479126	760.149520874
demo	0	front	436.771995544	264.123977661	759.876022339
demo	0	front	436.770576477	264.143432617	759.856567383
demo	0	front	436.730232239	264.129852295	759.870147705
demo	0	front	436.730232239	264.129852295	759.870147705
demo	0	front	436.730232239	264.129852295	759.870147705
demo	0	front	436.850090027	264.083770752	759.916229248
demo	0	front	436.808326721	264.139923096	759.860076904
demo	0	front	436.841110229	264.131530762	759.868469238
demo	0	front	436.797592163	264.188430786	759.811569214
demo	0	front	436.924453735	264.108169556	759.891830444
demo	0	front	436.933525085	264.057937622	759.942062378
demo	0	front	436.999107361	264.088882446	759.911117554
demo	0	front	436.833389282	264.06451416	759.93548584
demo	0	front	436.879127502	264.037841797	759.962158203
demo	0	front	436.87146759	263.914718628	760.085281372
demo	0	front	436.890823364	263.928009033	760.071990967
demo	0	front	436.956214905	263.955581665	760.044418335
demo	0	front	436.907432556	263.869262695	760.130737305
demo	0	front	436.981590271	263.927200317	760.072799683
demo	0	front	437.068313599	264.080886841	759.919113159
demo	0	front	437.15537262	264.063690186	759.936309814
demo	0	front	437.038047791	263.963058472	760.036941528
demo	0	front	437.047660828	264.018051147	759.981948853
demo	0	front	436.929107666	264.093688965	759.906311035
demo	0	front	436.945327759	264.091674805	759.908325195
demo	0	front	436.870780945	264.133956909	759.866043091
demo	0	front	436.915870667	264.089767456	759.910232544
demo	0	front	436.8644104	264.000976562	759.999023438
demo	0	front	436.844528198	263.983184814	760.016815186
demo	0	front	436.85496521	263.848754883	760.151245117
demo	0	front	436.853904724	263.794067383	760.205932617
demo	0	front	436.788383484	263.938156128	760.061843872
demo	0	front	436.817375183	263.856140137	760.143859863
demo	0	front	436.747657776	263.796630859	760.203369141
demo	0	front	436.861503601	263.88218689	760.11781311
demo	0	front	436.851219177	263.923141479	760.076858521
demo	0	front	436.875320435	263.834259033	760.165740967
demo	0	front	436.839019775	263.841918945	760.158081055
demo	0	front	436.878265381	263.789520264	760.210479736
demo	0	front	436.886169434	263.68977356	760.31022644
demo	0	front	436.923530579	263.683853149	760.316146851
demo	0	front	436.940597534	263.77432251	760.22567749
demo	0	front	436.915374756	263.757141113	760.242858887
demo	0	front	437.022926331	263.762115479	760.237884521
demo	0	front	436.916763306	263.902008057	760.097991943
demo	0	front	436.80280304	263.972335815	760.027664185
demo	0	front	446.346405029	247.845214844	776.154785156
demo	0	front	446.588981628	247.798828125	776.201171875
demo	0	front	592.434944153	248.353057861	775.646942139
demo	0	front	617.469657898	246.193359375	777.806640625
demo	0	front	618.056274414	245.523406982	778.476593018
